Région,Tendance_temp_par_an,Réchauffement_total_période,Signification_temp,Tendance_precip_par_an,Evolution_precip_période,Signification_precip,Temp_2010,Temp_2019,Precip_2010,Precip_2019
Grand Est,0.012545454545454634,0.11290909090909171,Non significatif,-5.77424242424243,-51.96818181818187,Non significatif,15.12,13.646666666666667,499.94000000000005,462.6066666666666
Nouvelle-Aquitaine,0.031000000000000003,0.279,Non significatif,8.473292929292926,76.25963636363633,Non significatif,16.20,17.946666666666665,304.72,433.29333333333335
Occitanie,0.044000000000000004,0.396,Non significatif,11.239474747474745,101.1552727272727,Non significatif,15.95,17.466666666666667,382.22,505.9433333333333
